3 hexa 10 10 bubble
6 9 0.359561 
2 0 0.388408 van 
9 9 0.825632 bus 
6 2 0.532911 saab 
0 2 0.40326 van 
9 4 0.56383 opel 
4 6 0.338571 van 
1 1 0.344605 
9 0 0.300534 saab 
0 6 0.283681 van 
8 3 0.451567 saab 
2 9 0.297907 bus 
1 4 0.310096 van 
3 9 0.289218 bus 
9 6 0.307205 opel 
0 0 0.501731 van 
0 2 0.412556 van 
0 5 0.393275 van 
0 7 0.358228 van 
3 2 0.290141 van 
5 6 0.284816 van 
9 2 0.317858 opel 
7 8 0.468329 opel 
1 7 0.278463 van 
9 9 0.433774 bus 
3 0 0.455996 van 
2 8 0.286929 saab 
8 6 0.232519 opel 
4 5 0.362504 opel 
3 7 0.233412 bus 
7 0 0.577548 bus 
0 2 0.438138 van 
7 5 0.454094 saab 
6 2 0.406932 saab 
1 5 0.474453 saab 
0 0 0.527348 van 
0 4 0.298144 van 
2 3 0.388929 van 
3 3 0.261288 bus 
6 4 0.381347 van 
6 7 0.362271 opel 
5 5 0.354823 van 
0 9 0.409275 opel 
4 6 0.295555 van 
6 0 0.4231 saab 
3 2 0.359056 van 
9 5 0.505968 saab 
2 9 0.339755 bus 
6 2 0.318042 saab 
0 6 0.771261 van 
0 8 0.434525 van 
9 9 0.452268 bus 
0 8 0.523816 van 
3 8 0.286482 bus 
2 5 0.309886 opel 
2 0 0.395084 van 
3 7 0.253971 bus 
0 3 0.175352 saab 
0 0 0.24226 van 
6 3 0.454562 saab 
9 3 0.328935 saab 
7 5 0.260029 saab 
0 3 0.468493 saab 
9 6 0.449096 opel 
3 0 0.599481 van 
5 3 0.386367 van 
9 7 0.292433 opel 
9 6 0.446894 opel 
5 8 0.27279 van 
6 7 0.358156 opel 
4 4 0.343941 bus 
4 0 0.729625 bus 
0 9 0.345941 opel 
7 7 0.362994 opel 
5 0 0.461683 bus 
0 2 0.599527 van 
8 8 0.248668 opel 
9 3 0.435675 saab 
3 0 0.43276 van 
8 8 0.358029 opel 
3 6 0.23893 bus 
2 9 0.241131 bus 
4 9 0.338588 van 
7 6 0.41361 opel 
6 8 1.68948 saab 
6 2 0.627402 saab 
6 2 0.288193 saab 
1 1 0.377653 
2 9 0.273737 bus 
5 2 0.362384 bus 
2 9 0.252476 bus 
1 4 0.34909 van 
8 0 0.45593 opel 
7 8 0.37055 opel 
0 8 0.415282 van 
0 8 0.33284 van 
8 9 0.474401 opel 
2 9 0.288496 bus 
7 1 0.282154 opel 
9 9 0.331684 bus 
7 6 0.434387 opel 
0 6 0.255031 van 
0 4 0.54634 van 
0 0 0.492216 van 
5 0 0.565797 bus 
0 3 0.799877 saab 
6 5 0.48928 opel 
1 6 0.499294 saab 
4 0 0.494404 bus 
7 9 0.329625 opel 
2 9 0.340994 bus 
9 6 0.454263 opel 
0 5 0.327153 van 
6 0 0.347694 saab 
1 9 0.270268 bus 
1 6 0.328417 saab 
9 9 0.24358 bus 
9 9 0.538885 bus 
9 7 0.556396 opel 
7 1 0.536283 opel 
5 7 0.141696 van 
2 4 0.455431 van 
4 7 0.388542 van 
3 6 0.25451 bus 
4 0 0.378789 bus 
9 1 0.316044 opel 
9 5 0.301885 saab 
1 7 0.35185 van 
5 3 0.31008 van 
9 9 0.883976 bus 
9 7 0.364204 opel 
7 9 0.257853 opel 
9 5 0.294501 saab 
9 9 0.589993 bus 
8 0 0.458497 opel 
0 0 0.281536 van 
9 4 0.820085 opel 
6 0 0.485731 saab 
0 6 0.415609 van 
3 6 0.3591 bus 
9 1 0.482548 opel 
7 7 0.235313 opel 
0 8 0.311477 van 
7 6 0.391316 opel 
9 6 0.279482 opel 
1 9 0.240268 bus 
1 0 0.631882 saab 
8 3 0.39065 saab 
6 2 0.373916 saab 
6 8 0.309799 saab 
9 5 0.861734 saab 
2 4 0.153418 van 
3 0 0.672667 van 
9 7 0.475542 opel 
8 4 0.313428 opel 
3 0 0.221114 van 
9 8 0.412444 saab 
7 7 0.425022 opel 
5 8 0.90001 van 
2 3 0.312221 van 
3 0 0.57793 van 
6 0 0.578902 saab 
5 7 0.332556 van 
5 8 0.260197 van 
9 1 0.391702 opel 
9 7 0.354895 opel 
8 9 0.309988 opel 
3 9 0.375633 bus 
1 1 0.142936 
2 5 0.3936 opel 
1 9 0.20158 bus 
6 0 0.345944 saab 
5 6 0.533553 van 
9 5 0.735209 saab 
0 0 0.483848 van 
5 8 0.288511 van 
2 9 0.236391 bus 
1 5 0.464874 saab 
7 9 0.40539 opel 
9 5 0.217986 saab 
9 9 0.902684 bus 
8 0 0.454951 opel 
1 0 0.429531 saab 
1 8 0.641216 
1 0 0.482488 saab 
9 6 0.220518 opel 
9 1 0.470544 opel 
2 6 0.526667 opel 
6 0 0.565203 saab 
9 0 0.327245 saab 
9 6 0.229975 opel 
0 3 0.32219 saab 
9 7 0.387165 opel 
5 0 0.474773 bus 
4 6 0.293318 van 
0 8 0.647809 van 
5 3 0.292271 van 
1 5 0.452974 saab 
9 8 0.362944 saab 
4 6 0.269717 van 
5 8 0.427989 van 
1 0 0.428796 saab 
9 9 0.393377 bus 
8 1 0.381224 bus 
4 0 0.37144 bus 
2 9 0.289799 bus 
9 3 0.242205 saab 
3 6 0.294844 bus 
0 0 0.41314 van 
4 1 0.379142 van 
0 6 0.43461 van 
1 2 0.410645 van 
2 9 0.28668 bus 
5 4 0.38858 bus 
6 2 0.395077 saab 
4 7 0.178011 van 
9 0 0.541897 saab 
9 0 0.379568 saab 
9 2 0.392549 opel 
4 0 0.358839 bus 
5 0 0.442965 bus 
2 9 0.275849 bus 
2 9 0.254567 bus 
7 4 0.294988 bus 
0 7 0.507 van 
3 0 0.396321 van 
1 9 0.314905 bus 
9 9 0.552488 bus 
0 8 0.440965 van 
9 7 0.394102 opel 
0 4 0.216532 van 
5 8 0.880775 van 
4 7 0.327731 van 
7 9 0.345919 opel 
0 0 0.391871 van 
4 6 0.430928 van 
0 8 0.418678 van 
0 1 0.231751 opel 
9 5 0.279613 saab 
7 9 0.331549 opel 
7 7 0.291554 opel 
9 5 0.46674 saab 
0 0 0.361426 van 
9 7 0.392253 opel 
9 9 0.206534 bus 
0 8 0.350832 van 
3 9 0.265528 bus 
0 0 0.600406 van 
2 9 0.34011 bus 
9 0 0.529312 saab 
7 7 0.288333 opel 
3 9 0.273819 bus 
0 0 0.369933 van 
0 8 0.428826 van 
0 7 0.365886 van 
4 0 0.334056 bus 
9 4 0.45698 opel 
9 7 0.417602 opel 
2 7 0.11944 bus 
5 6 0.287631 van 
1 9 0.309873 bus 
6 1 0.437243 bus 
2 0 0.360957 van 
9 5 0.392858 saab 
9 8 0.310591 saab 
2 5 0.371739 opel 
9 5 0.274538 saab 
6 3 0.5107 saab 
7 9 0.317117 opel 
7 7 0.324387 opel 
9 9 0.739805 bus 
6 0 0.451279 saab 
3 0 0.353654 van 
1 3 0.398539 bus 
3 7 0.300026 bus 
2 9 0.254904 bus 
9 5 0.305323 saab 
8 1 0.542599 bus 
